,ask_price,ask_price_grad,ask_volat,bid_price,bid_price_grad,bid_volat,imbalance,spread,LOF
6635,13300.0,-0.5,5.6535709330332626e-08,13299.95382113,-0.023089434999747027,3.219804586531998e-08,0.7126799135171137,0.0003472101516417769,-1.1100835571565364
6636,13300.0,-2.0,5.6535709330332626e-08,13299.95382113,-2.339687540000341,3.219804586531998e-08,0.7126799135171137,0.0003472101516417769,-1.6456283688876858
6637,13296.0,-2.0,1.4701461349127791e-07,13295.27444605,-2.339687540000341,1.5602872980844056e-07,0.5037593984962405,0.0054570829350223445,-1.667504039933555
6638,13296.0,0.0,9.61317099567699e-08,13295.27444605,0.0,1.2384273943206082e-07,0.5151515151515151,0.0054570829350223445,-1.1063216045288335
6639,13296.0,0.0,9.613170995676991e-08,13295.27444605,0.0,1.2384273943206082e-07,-0.5028177833437695,0.0054570829350223445,-1.4322422544551086
6640,13296.0,0.0,9.613170995676991e-08,13295.27444605,0.0,1.2384273943206082e-07,0.7647058823529412,0.0054570829350223445,-1.0942276089750647
6641,13296.0,-0.100032000000283,9.613170995676991e-08,13295.27444605,0.0,1.2384273943206082e-07,0.7647058823529412,0.0054570829350223445,-1.099923527267268
6642,13295.799936,-0.100032000000283,9.635812350840808e-08,13295.27444605,0.0,1.2384273943206082e-07,0.5384615384615385,0.003952378474442807,-1.1216168028366205
6643,13295.799936,0.0,9.635812350840807e-08,13295.27444605,0.0,1.2384273943206082e-07,0.5384615384615385,0.003952378474442807,-1.1964715039403817
6644,13295.799936,1.100032000000283,9.635812350840807e-08,13295.27444605,1.1534534749998784,1.2384273943206082e-07,0.5384615384615385,0.003952378474442807,-4.176167699175349
6645,13298.0,0.6927586950005207,1.2373411316607254e-07,13297.581353,0.862776975000088,1.5394438176710075e-07,-0.43484374551611327,0.003148244773774765,-1.773896924068918
6646,13297.18545339,1.3455853100003878,1.274863118481263e-07,13297.0,1.2093235000002096,1.5585579025874656e-07,0.9624334174376228,0.001394691259301836,-5.669725845789126
6647,13300.69117062,1.7528586150001502,1.9132310868568852e-07,13300.0,1.5,2.067342910195229e-07,0.8130806401660966,0.0051966365502875474,-4.6645714335727675
6648,13300.69117062,0.0,1.9132310868568852e-07,13300.0,0.0,2.067342910195229e-07,0.8130806401660966,0.0051966365502875474,-1.0449190244147564
6649,13300.69117062,1.6544146899996122,1.0084420452474324e-07,13300.0,1.5141577200001848,8.290360707640232e-08,0.8130806401660966,0.0051966365502875474,-4.682783030883188
6650,13304.0,1.6544146899996122,1.6271594007685655e-07,13303.02831544,1.5141577200001848,1.347358572767371e-07,-0.23739880393764953,0.007303969075236891,-6.881166533640385
6651,13304.0,4.188447360000282,1.6271594007685655e-07,13303.02831544,4.485842279999815,1.347358572767371e-07,-0.24013808523609415,0.007303969075236891,-1.2253844131082765
6652,13312.37689472,3.0198749499995756,5.589285190014542e-07,13312.0,3.485842279999815,5.892570632641743e-07,0.7142857142857143,0.0028312003055764117,-0.9902784718274636
6653,13310.0397499,-1.1685724100007064,5.897558758585089e-07,13310.0,-1.0,6.118326281528597e-07,0.9402539208364451,0.00029864643608806454,-4.003531231330377
6654,13310.0397499,0.0,5.895294623068708e-07,13310.0,0.0,6.118326281528597e-07,0.9402539208364451,0.00029864643608806454,-5.384738380374196
6655,13310.0397499,2.4801250500004244,5.895294623068708e-07,13310.0,2.4562593199998446,6.118326281528597e-07,0.9402539208364451,0.00029864643608806454,-1.0462649246841669
6656,13315.0,2.3371448200005034,7.283605162996286e-07,13314.91251864,2.0,7.480059540324622e-07,-0.9868858875354936,0.0006570157520350618,-1.1140604477667546
6657,13314.71403954,-1.311552639999718,7.014457793826885e-07,13314.0,-1.4562593199998446,7.226014853798366e-07,0.8137748291401516,0.005362929196955639,-2.1242622787634615
6658,13312.37689472,-1.357019770000079,7.285101152457427e-07,13312.0,-1.0379810000004,7.432588592722459e-07,0.8021760192775513,0.0028312003055764117,-1.0524591527844438
