,ask_price,ask_price_grad,ask_volat,bid_price,bid_price_grad,bid_volat,imbalance,spread,ask_dwt,bid_dwt,ask_dwt_grad,bid_dwt_grad
35,4.0,2.0,5.0,4.0,2.0,5.0,2.0,5.0,4.0,4.0,2.0,2.0
36,4.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,2.0,2.0
37,4.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,2.0,2.0
38,4.0,2.0,5.0,4.0,2.0,5.0,2.0,5.0,4.0,4.0,2.0,2.0
39,4.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,2.0,2.0
40,4.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,2.0,2.0
41,4.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,2.0,2.0
42,4.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,2.0,2.0
43,4.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,2.0,2.0
44,4.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,2.0,2.0
45,4.0,2.0,5.0,4.0,2.0,5.0,3.0,5.0,4.0,4.0,3.0,2.0
46,4.0,3.0,5.0,4.0,2.0,5.0,3.0,5.0,4.0,4.0,3.0,3.0
47,4.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0
48,4.0,5.0,5.0,4.0,3.0,5.0,2.0,5.0,4.0,4.0,5.0,5.0
49,4.0,3.0,5.0,4.0,3.0,5.0,2.0,5.0,4.0,4.0,3.0,2.0
50,4.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,2.0,2.0
51,4.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,2.0,2.0
52,4.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,2.0,2.0
53,4.0,3.0,5.0,4.0,2.0,5.0,2.0,5.0,4.0,4.0,3.0,2.0
54,4.0,3.0,5.0,4.0,2.0,5.0,0.0,5.0,4.0,4.0,3.0,2.0
55,4.0,3.0,5.0,4.0,2.0,5.0,4.0,5.0,4.0,4.0,3.0,2.0
56,4.0,3.0,5.0,4.0,2.0,5.0,4.0,5.0,4.0,4.0,3.0,2.0
57,4.0,3.0,5.0,4.0,2.0,5.0,4.0,5.0,4.0,4.0,3.0,2.0
58,4.0,3.0,5.0,4.0,2.0,5.0,0.0,5.0,4.0,4.0,3.0,2.0
59,4.0,3.0,5.0,4.0,2.0,5.0,2.0,5.0,4.0,4.0,3.0,2.0
60,4.0,3.0,5.0,4.0,2.0,5.0,2.0,5.0,4.0,4.0,3.0,2.0
61,4.0,3.0,5.0,4.0,2.0,5.0,2.0,5.0,4.0,4.0,3.0,2.0
62,4.0,2.0,5.0,4.0,2.0,5.0,2.0,5.0,4.0,4.0,3.0,2.0
63,4.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,3.0,2.0
64,4.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,3.0,2.0
65,4.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,3.0,2.0
66,4.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,3.0,2.0
67,4.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,3.0,2.0
68,4.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,3.0,2.0
69,4.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,3.0,2.0
70,4.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,3.0,2.0
71,4.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,3.0,2.0
72,4.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,3.0,2.0
73,4.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,3.0,2.0
74,4.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,3.0,2.0
75,4.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,3.0,2.0
76,4.0,3.0,5.0,4.0,0.0,5.0,5.0,5.0,4.0,4.0,3.0,2.0
77,4.0,3.0,5.0,4.0,0.0,5.0,0.0,5.0,4.0,4.0,3.0,2.0
